[2026-04-02T09:36:37.418Z] GET http://localhost:8765/revenue-infrastruc-43.html → 200 (38ms, 94618B)
[2026-04-02T09:36:37.467Z] GET https://fonts.googleapis.com/css2?family=Red+Hat+Display:wght@400;500;600;700&display=swap → 200 (200ms, 3592B)
[2026-04-02T09:36:37.467Z] GET https://cdn.jsdelivr.net/npm/@fontsource/geist-sans@5.0.1/index.min.css → 200 (76ms, 554B)
[2026-04-02T09:36:37.468Z] GET https://cdn.jsdelivr.net/npm/@fontsource/geist-mono@5.0.1/index.min.css → 200 (76ms, 554B)
[2026-04-02T09:36:37.468Z] GET https://code.iconify.design/iconify-icon/1.0.7/iconify-icon.min.js → 200 (220ms, 22003B)
[2026-04-02T09:36:37.468Z] GET https://unpkg.com/lucide@latest → 302 (102ms, ?B)
[2026-04-02T09:36:37.468Z] GET https://cdn.tailwindcss.com/ → 302 (224ms, ?B)
[2026-04-02T09:36:37.468Z] GET https://www.googletagmanager.com/gtag/js?id=G-2M6V79H761 → pending (?ms, ?B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/TibexaLogo/tibexa-global/WhiteLogo_cropped.png → 200 (5ms, 54027B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/ar%C4%B1n%C3%A7_clean.png → 200 (5ms, 21324B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/coniwi.png → 200 (15ms, 285709B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/ertanlar_clean.png → 200 (15ms, 58690B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/fema.svg → 200 (17ms, 1935B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/igrek_clean.png → 200 (396ms, ?B)
[2026-04-02T09:36:37.469Z] GET http://localhost:8765/Logo/naturagen.webp → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET http://localhost:8765/Logo/nurgun_clean.png → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET http://localhost:8765/Logo/rapidlanyard_clean.png → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET http://localhost:8765/Logo/selinclogo1_clean.png → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET https://picsum.photos/seed/salih-yetim/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET https://picsum.photos/seed/mert-izinter/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET https://picsum.photos/seed/talha-sener/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.470Z] GET https://picsum.photos/seed/yusa-sener/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.471Z] GET https://picsum.photos/seed/tunaberk-y/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.471Z] GET https://picsum.photos/seed/harun-ozkan/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.471Z] GET https://picsum.photos/seed/dorukhan-y/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.471Z] GET https://picsum.photos/seed/furkan-yakici/400/400 → pending (?ms, ?B)
[2026-04-02T09:36:37.471Z] GET https://picsum.photos/seed/melis-yakin/400/400 → pending (?ms, ?B)
